기간	자치구별	합계	승용차	승합차	화물차	특수차
2015.04	합계	313,337	309,561	1,189	1,841	746
2015.04	종로구	6,573	6,443	52	35	43
2015.04	중구	10,669	10,427	63	96	83
2015.04	용산구	15,534	15,405	44	82	3
2015.04	성동구	11,999	11,883	47	60	9
2015.04	광진구	8,634	8,551	38	44	1
2015.04	동대문구	6,884	6,796	24	61	3
2015.04	중랑구	4,713	4,616	27	61	9
2015.04	성북구	8,876	8,761	38	74	3
2015.04	강북구	3,485	3,447	14	20	4
2015.04	도봉구	4,329	4,254	21	50	4
2015.04	노원구	7,147	7,034	42	63	8
2015.04	은평구	6,834	6,759	20	51	4
2015.04	서대문구	6,318	6,228	31	46	13
2015.04	마포구	12,395	12,216	57	96	26
2015.04	양천구	11,673	11,354	54	77	188
2015.04	강서구	12,115	11,928	50	104	33
2015.04	구로구	7,084	6,939	32	81	32
2015.04	금천구	3,700	3,643	16	35	6
2015.04	영등포구	18,087	17,732	55	162	138
2015.04	동작구	8,525	8,457	18	44	6
2015.04	관악구	6,394	6,308	19	57	10
2015.04	서초구	38,401	38,090	129	130	52
2015.04	강남구	57,281	56,924	174	140	43
2015.04	송파구	26,731	26,536	78	103	14
2015.04	강동구	8,956	8,830	46	69	11
2015.05	합계	317,019	313,210	1,199	1,861	749
2015.05	종로구	6,621	6,485	58	35	43
2015.05	중구	10,662	10,422	64	96	80
2015.05	용산구	15,612	15,478	43	86	5
2015.05	성동구	12,244	12,129	48	59	8
2015.05	광진구	8,805	8,719	40	45	1
2015.05	동대문구	6,981	6,888	26	64	3
2015.05	중랑구	4,821	4,724	26	62	9
2015.05	성북구	9,020	8,904	39	74	3
2015.05	강북구	3,534	3,495	13	22	4
2015.05	도봉구	4,397	4,322	21	50	4
2015.05	노원구	7,296	7,182	42	64	8
2015.05	은평구	6,950	6,876	21	49	4
2015.05	서대문구	6,399	6,308	31	47	13
2015.05	마포구	12,709	12,532	53	98	26
2015.05	양천구	11,848	11,532	54	74	188
2015.05	강서구	12,330	12,138	52	107	33
2015.05	구로구	7,177	7,028	33	85	31
2015.05	금천구	3,748	3,687	16	35	10
2015.05	영등포구	18,241	17,885	55	163	138
2015.05	동작구	8,651	8,584	19	42	6
2015.05	관악구	6,497	6,406	21	60	10
2015.05	서초구	38,693	38,385	128	128	52
2015.05	강남구	57,726	57,367	173	142	44
2015.05	송파구	26,997	26,802	79	101	15
2015.05	강동구	9,060	8,932	44	73	11
2015.06	합계	321,931	318,073	1,219	1,897	742
2015.06	종로구	6,695	6,560	57	35	43
2015.06	중구	10,660	10,443	65	87	65
2015.06	용산구	15,634	15,503	43	84	4
2015.06	성동구	12,544	12,420	51	65	8
2015.06	광진구	8,912	8,824	40	47	1
2015.06	동대문구	7,124	7,030	27	64	3
2015.06	중랑구	4,969	4,863	28	68	10
2015.06	성북구	9,194	9,080	37	74	3
2015.06	강북구	3,627	3,587	14	22	4
2015.06	도봉구	4,462	4,385	22	51	4
2015.06	노원구	7,479	7,362	44	65	8
2015.06	은평구	7,108	7,033	22	49	4
2015.06	서대문구	6,506	6,396	34	57	19
2015.06	마포구	13,006	12,818	56	105	27
2015.06	양천구	12,068	11,752	55	73	188
2015.06	강서구	12,522	12,326	56	107	33
2015.06	구로구	7,304	7,149	33	90	32
2015.06	금천구	3,828	3,761	19	36	12
2015.06	영등포구	18,677	18,319	57	163	138
2015.06	동작구	8,851	8,782	19	44	6
2015.06	관악구	6,676	6,588	19	60	9
2015.06	서초구	39,125	38,814	129	129	53
2015.06	강남구	58,285	57,931	169	143	42
2015.06	송파구	27,480	27,283	78	104	15
2015.06	강동구	9,195	9,064	45	75	11
2015.07	합계	326,153	322,285	1,225	1,909	734
2015.07	종로구	6,766	6,631	55	36	44
2015.07	중구	10,704	10,501	64	87	52
2015.07	용산구	15,819	15,681	46	88	4
2015.07	성동구	12,720	12,595	52	65	8
2015.07	광진구	9,003	8,913	41	48	1
2015.07	동대문구	7,237	7,143	27	64	3
2015.07	중랑구	5,065	4,958	28	69	10
2015.07	성북구	9,386	9,266	39	78	3
2015.07	강북구	3,691	3,652	13	22	4
2015.07	도봉구	4,551	4,472	23	52	4
2015.07	노원구	7,642	7,525	45	65	7
2015.07	은평구	7,260	7,183	24	50	3
2015.07	서대문구	6,608	6,497	36	56	19
2015.07	마포구	13,238	13,054	57	100	27
2015.07	양천구	12,249	11,934	53	74	188
2015.07	강서구	12,784	12,589	58	104	33
2015.07	구로구	7,439	7,281	34	90	34
2015.07	금천구	3,876	3,808	21	35	12
2015.07	영등포구	18,976	18,617	57	162	140
2015.07	동작구	8,991	8,921	19	45	6
2015.07	관악구	6,797	6,710	20	57	10
