기간	자치구	주택현황	주택현황	주택현황	주택현황	주택현황	주택현황	주택현황	주택현황	주택보급률
기간	자치구	합계	단독주택	단독주택	단독주택	아파트	연립주택	다세대주택	비거주용 건물내 주택	주택보급률
기간	자치구	합계	계	단독주택(영업겸용포함)	다가구 주택	아파트	연립주택	다세대주택	비거주용 건물내 주택	주택보급률
2014	계	3,603,751	1,265,784	160,675	1,105,109	1,613,849	142,704	556,979	24,435	97.9
2014	종로구	55,275	27,355	9,701	17,654	12,113	5,592	9,486	729	91.1
2014	중구	45,745	16,507	4,494	12,013	21,718	1,870	4,876	774	102
2014	용산구	92,110	39,828	7,634	32,194	34,128	4,529	12,933	692	95.8
2014	성동구	108,205	42,885	4,593	38,292	54,845	2,418	7,269	788	104.4
2014	광진구	137,286	79,760	4,733	75,027	29,462	5,283	21,562	1,219	97.9
2014	동대문구	134,704	61,390	10,483	50,907	58,269	4,739	9,216	1,090	107.4
2014	중랑구	152,468	78,898	6,526	72,372	50,222	6,230	15,874	1,244	100.9
2014	성북구	166,234	68,697	16,182	52,515	69,253	5,842	21,215	1,227	93.6
2014	강북구	120,571	51,529	9,277	42,252	32,910	5,158	30,053	921	99.8
2014	도봉구	121,302	30,058	4,173	25,885	64,514	5,155	21,008	567	100.2
2014	노원구	200,120	22,816	4,935	17,881	160,811	4,554	11,350	589	99
2014	은평구	174,249	51,264	10,190	41,074	50,063	7,589	64,163	1,170	106.7
2014	서대문구	111,435	40,768	7,979	32,789	40,048	6,539	23,237	843	102.6
2014	마포구	142,246	50,243	7,602	42,641	57,232	6,698	26,901	1,172	96.8
2014	양천구	158,604	37,136	3,898	33,238	83,653	6,149	30,899	767	99.5
2014	강서구	202,039	42,961	4,125	38,836	102,966	6,579	48,434	1,099	97.3
2014	구로구	150,429	47,527	4,434	43,093	72,611	9,764	19,805	722	99.3
2014	금천구	89,380	44,032	2,730	41,302	27,329	5,385	12,175	459	101.9
2014	영등포구	134,927	59,438	6,178	53,260	64,340	2,651	7,537	961	95.5
2014	동작구	151,845	64,615	6,814	57,801	56,145	6,352	23,910	823	98.9
2014	관악구	205,278	113,774	8,448	105,326	53,168	10,177	26,969	1,190	89.1
2014	서초구	147,797	32,575	3,761	28,814	91,232	6,418	16,240	1,332	100.1
2014	강남구	208,718	53,156	4,196	48,960	129,209	6,401	18,511	1,441	97.4
2014	송파구	231,514	51,467	4,046	47,421	118,553	6,196	53,730	1,568	92.3
2014	강동구	161,270	57,105	3,543	53,562	79,055	4,436	19,626	1,048	92.1
