year,추계인구(명),농가인구(명),추계인구_전국,농가인구_전국,유통비_직접비,유통비_간접비,유통비_이윤,유통비_계,유통비_출하,유통비_도매,유통비_소매,자급도(%),전년도양곡소비량_전가구 (kg),전년도소비자물가변동율,가계지출(소비지출+비소비지출) (천원),전년도양곡수요,생산량(톤),전년도재고량(천톤),최저임금_시간,최저임금인상율,직접노동투하량,korexpwgt,korimpwgt,농업소득(천원),농가부채(천원),논경지면적(ha),임차농지비율(%),임차료율(%),농가수,지급면적,지급단가,ha당 단가,지급총액,목표가격,농가교역조건지수(A/B),농가판매가격지수(A),농가구입가격지수(B),농업소득 (천원),농업소득률 (%),농업소득의 가계비충족 (%),농업순생산 (천원),농업의존도 (%),부채 (천원),자산 (천원),매입량(톤),합계면적,합계생산량,1인당 국내총생산(명목 달러표시) (달러),1인당 국민총소득(명목 달러표시) (달러),1인당 가계총처분가능소득(명목 달러표시) (달러),국내총생산(실질성장률) (%),쌀생산량-정부매입량,전년도단경기가격,전년도계절진폭,수확기
2005,48184561,3433573,48184561,3433573,12.6,6.7,3.9,23.2,11.4,3.8,8.0,96.5,82,3.6,21247,18880,5520396,850,2926.666667,0.166002656,1027.55,202579,1567547,109505,265234,1104811,42.3,16,984,940,15710,958310,9007,170083,113.1,92.5,81.8,9808,49.3,46.16,14890,43.3,17888,275304,720,979717,4768368,18636,18490.4,11035.2,3.9,5519676,34931,8.635204202,36303 
2006,48438292,3304175,48438292,3304175,13.6,5.1,3.6,22.3,12.3,4.7,5.3,102,80.7,2.8,23894,19858,5300302,832,3100,0,962.11,47758,180479391,109188,269976,1084024,43,15.8,1000,951,7537,459757,4370,170083,110.2,91.8,83.3,10791,49.2,45.16,16576,41.9,20393,364398,504,955229,4679991,20872.7,20794.7,12325.2,5.2,5299798,39843 ,19.8 ,37501 
2007,48683638,3274089,48683638,3274089,13.0,5.1,3.1,21.2,11.5,4.7,5.0,98.5,78.8,2.2,22379,19771,5033964,830,3480,12.25806452,957.62,2049435,285870800,96296,289323,1069932,42.8,16.4,1016,932,4907,299327,2791,170083,109.5,93.8,85.7,9518,44.3,42.53,15780,39.42,22133,404438,417,950250,4407743,23062.1,22992.1,13236.1,5.5,5033547,38858 ,13.6 ,38222 
2008,49054708,3186752,49054708,3186752,13.3,4.8,2.8,20.9,11.6,3.6,5.7,95.8,76.9,2.5,22754,19382,5497538,695,3770,8.333333333,911.5,1427295,425975986,91966,249231,1045991,43,16.8,1025,920,0,0,0,170083,97.4,91.9,94.4,8867,42.3,38.97,14819,38.03,14998,331095,400,935766,4843478,20420.6,20419.1,11782.5,2.8,5497138,39510 ,13.4 ,40591 
2009,49307835,3117323,49307835,3117323,16.2,1.9,1.5,19.6,12.3,4.4,2.9,94.3,75.8,4.7,21734,18125,5553478,686,4000,6.100795756,860.94,20141085,524115007,90279,247268,1010287,45.9,15.5,815,809,12028,733708,5945,170083,94.8,93.4,98.5,8225,40.5,37.84,14050,37.69,14463,340304,710,924471,4916080,18299.5,18256.2,10508.9,0.7,5552768,41842 ,13.1 ,34562 
2010,49554112,3062956,49554112,3062956,16.9,2.2,1.6,20.7,13.3,4.5,2.9,101.1,74,2.8,21112,18558,4836456,993,4110,2.75,843.98,23553351,570390893,98460,256501,984140,47.9,13.3,781,789,15588,950868,7501,170083,100.0,100.0,100.0,7194,35.2,34.07,13736,34.87,14167,343219,437,892074,4295413,22083.2,22105.3,12234.8,6.5,4836019,37427 ,18.3 ,34081 
2011,49936638,2962113,49936638,2962113,13.4,4.7,3.2,21.3,11.5,4.4,5.4,104.6,72.8,2.9,20772,19939,4775135,1509,4320,5.109489051,755.42,20397567,541815858,82016,239335,959914,47.3,14.4,740,754,0,0,0,170083,104.0,107.6,103.5,6498,30.4,31.28,13673,32.97,13371,366531,261,853823,4224019,24083.7,24225.6,13404.1,3.7,4774874,32359 ,4.9 ,40981 
2012,50199853,2911541,50199853,2911541,13.3,5.5,2.0,20.8,10.9,3.9,6.0,83.1,71.2,4,20424,19889,4565223,1051,4580,6.018518519,735.17,14280334,1017608431,81080,249054,966076,47.8,14.4,719,747,0,0,0,170083,110.7,117.5,106.1,7462,32.9,36.54,15228,38.06,13495,383842,363,849172,4006183,24349.9,24599.9,13616.9,2.3,4564860,39000 ,5.2 ,43386 
2013,50428893,2847435,50428893,2847435,13.3,5.7,2.5,21.5,11.0,3.8,6.7,86.6,69.8,2.2,23060,20059,4825079,762,4860,6.113537118,823.27,9537721,1415837825,88982,250357,963876,50,12.1,697,735,0,0,0,188000,105.7,113.2,107.1,7713,30.4,33.45,16349,33.07,19190,423843,368,832625,4230011,25885.6,26070.3,14643.4,2.9,4824711,41917 ,6.6 ,43899 
2014,50746659,2751791,50746659,2751791,14.0,5.5,2.5,22.0,11.9,4.0,6.1,89.2,67.2,1.3,22658,19627,4827885,801,5210,7.201646091,743.79,9622244,130206860,89945,255465,933615,49.9,13.1,669,729,4226,266238,1941,188000,102.7,111.3,108.4,7061,30.9,31.16,15323,31.38,15175,397861,533,815506,4240739,27804.5,27892.2,15820.4,3.3,4827352,44400 ,11.1 ,41578 
2015,51014947,2569387,51014947,2569387,15.1,6.7,4.0,25.8,12.6,5.0,8.2,95.7,65.1,1.3,23194,20102,4845870,874,5580,7.101727447,687.44,11305075,689129330,98604,249353,908194,50.9,13.9,685,726,15867,999621,7262,188000,104.4,113.8,109.0,8375,33.4,36.11,17143,32.73,14938,396444,560,799344,4326915,27097.1,27170.9,15487.4,2.8,4845310,42569 ,12.4 ,37527 
2016,51245707,2496406,51245707,2496406,17.4,7.0,4.3,28.7,14.7,5.4,8.6,101,62.9,0.7,22222,20108,4706554,1354,6030,8.064516129,664.24,18339032,571822230,89695,259572,895739,50,11.3,684,706,33499,2110437,14898,188000,103.7,113.4,109.3,5805,26.6,26.12,14267,26.25,16554,403908,659,778734,4196691,27606.7,27681,15514.9,2.9,4705895,39892 ,16.3 ,31905 
2017,51446201,2422255,51446201,2422255,17.5,7.1,4.4,28.8,14.8,5.5,8.7,102.5,61.9,1,22908,20461,4465983,1747,6470,7.296849088,607.05,9362011,293006907,90223,255171,864865,51.4,11.5,675,684,12514,788382,5393,188000,107.8,119.8,111.1,8987,34.8,39.23,18097,32.9,17352,435957,711,754713,3972468,29743.5,29744.6,16573.4,3.1,4465272,35449 ,21.1 ,38101 
