,수준지수(서울특별시=100),재산세 수준지수(서울특별시=100)
전문직비율,0.037143684254039105,0.45371956847060424
인구 천명당 사설학원수,0.16091113944770444,0.5334699491678438
1인당 자동차 등록대수,0.6425083398772041,0.7992389097927534
인구 십만명당 문화기반시설수,0.6939295504655201,0.567296731975858
인구 천명당 의료기관종사의사수,0.6993384932116735,0.7310868645476717
재정자주도,0.709743558051447,0.8476010930425076
자동차 천대당 교통사고발생건수,0.743687137996961,0.703935213875194
폐수배출업소수,0.7540208344515719,0.615752962213292
재산세 수준지수(서울특별시=100),0.8720009148990995,1.0
인구 천명당 사업체수,0.9903408726323626,0.8115011068724618
인구 천명당 종사자수,0.9904554297916898,0.8886777722665475
수준지수(서울특별시=100),1.0,0.8720009148990995
일반회계중 사회복지예산비중,-0.7627980174655036,-0.7845307561997924
사망자수,-0.6454315426921223,-0.5834607385901677
장애인고용률,-0.45949226773433294,-0.5815277730059107
유아 천명당 보육시설수,-0.22246275850457203,-0.5345472322573154
단순직비율,-0.12650749818473234,-0.49797553743097145
인구 십만명당 사회복지시설수,-0.11732938701683975,-0.4135293106913813
