,수준지수(서울특별시=100),재산세 수준지수(서울특별시=100)
1인당 자동차 등록대수,0.6425083398772041,0.7992389097927534
인구 십만명당 문화기반시설수,0.6939295504655201,0.567296731975858
인구 천명당 사업체수,0.9903408726323626,0.8115011068724618
인구 천명당 외국인수,0.4000642484912106,0.204070311775647
인구 천명당 의료기관병상수,0.44367597813636545,0.3886826198417977
인구 천명당 의료기관종사의사수,0.6993384932116735,0.7310868645476717
인구 천명당 종사자수,0.9904554297916898,0.8886777722665475
자동차 천대당 교통사고발생건수,0.743687137996961,0.703935213875194
재정자주도,0.709743558051447,0.8476010930425076
폐수배출업소수,0.7540208344515719,0.615752962213292
수준지수(서울특별시=100),1.0,0.8720009148990995
재산세 수준지수(서울특별시=100),0.8720009148990995,1.0
가구수,-0.5538380798781497,-0.3450179181338069
건강보험 적용인구 현황,-0.5125260176081174,-0.25847374800666634
사망자수,-0.6454315426921223,-0.5834607385901677
일반회계중 사회복지예산비중,-0.7627980174655036,-0.7845307561997924
장애인고용률,-0.45949226773433294,-0.5815277730059107
전입인구,-0.4537296516789077,-0.15619867611098412
전출인구,-0.4592887570380018,-0.1653812740642131
주민등록인구,-0.5366338299072989,-0.2952569032826524
출생아수,-0.47848206018477285,-0.2414208254056301
총합계,-0.500064167897831,-0.25157596799386656
