year,korexpm,korexpwgt,korimpm,korimpwgt,추계인구(명),농가인구(명),농업소득(천원),농가부채(천원),논경지면적(ha),임차농지비율(%),임차료율(%),생산량(면적),생산량(톤),자급도(%),소비량(kg),재고량(천톤),최저임금_시간,최저임금인상율,추계인구_전국,농가인구_전국,유통비_계,유통비_직접비,유통비_간접비,유통비_이윤,유통비_계,유통비_출하,유통비_도매,유통비_소매,양곡소비량_전가구 (kg),양곡소비량_농가 (kg),양곡소비량_비농가 (kg),소비자물가변동율,1인당 국내총생산(명목 달러표시) (달러),1인당 국민총소득(명목 달러표시) (달러),1인당 가계총처분가능소득(명목 달러표시) (달러),국내총생산(실질성장률) (%),농림어업 (%),농가수,지급면적,지급단가,ha당 단가,지급총액,목표가격,농가교역조건지수(A/B),농가판매가격지수(A),농가구입가격지수(B),가계지출(소비지출+비소비지출) (천원),농업소득 (천원),농업소득률 (%),농업소득의 가계비충족 (%),농업순생산 (천원),농업의존도 (%),부채 (천원),자산 (천원),직접노동투하량,수확기쌀값,도매가격,소매가격
2005,1025,202579,2672,1567547,48184561,3433573,109505,265234,1104811,42.3,16,1234030,5520396,102,80.7,832,2926.666667,0.166002656,48184561,3433573,23.2,12.6,6.7,3.9,23.2,11.4,3.8,8.0,80.7,130.8,77,2.8,18636,18490.4,11035.2,3.9,1.4,984,940,15710,958310,9007,170083,113.1,92.5,81.8,21247,9808,49.3,46.16,14890,43.3,17888,275304,1027.55,147715,36989,42929
2006,214,47758,95839,180479391,48438292,3304175,109188,269976,1084024,43,15.8,1180014,5300302,98.5,78.8,830,3100,0,48438292,3304175,22.3,13.6,5.1,3.6,22.3,12.3,4.7,5.3,78.8,128,75.2,2.2,20872.7,20794.7,12325.2,5.2,1.6,1000,951,7537,459757,4370,170083,110.2,91.8,83.3,23894,10791,49.2,45.16,16576,41.9,20393,364398,962.11,150810,38632,43487
2007,5215,2049435,177528,285870800,48683638,3274089,96296,289323,1069932,42.8,16.4,1162781,5033964,95.8,76.9,695,3480,12.25806452,48683638,3274089,21.2,13.0,5.1,3.1,21.2,11.5,4.7,5.0,76.9,127.6,73.3,2.5,23062.1,22992.1,13236.1,5.5,4.1,1016,932,4907,299327,2791,170083,109.5,93.8,85.7,22379,9518,44.3,42.53,15780,39.42,22133,404438,957.62,162307,40667,45075
2008,3228,1427295,292371,425975986,49054708,3186752,91966,249231,1045991,43,16.8,1145215,5497538,94.3,75.8,686,3770,8.333333333,49054708,3186752,20.9,13.3,4.8,2.8,20.9,11.6,3.6,5.7,75.8,122.5,72.4,4.7,20420.6,20419.1,11782.5,2.8,5.6,1025,920,0,0,0,170083,97.4,91.9,94.4,22754,8867,42.3,38.97,14819,38.03,14998,331095,911.5,142360,38244,44617
2009,34640,20141085,565166,524115007,49307835,3117323,90279,247268,1010287,45.9,15.5,1126651,5553478,101.1,74,993,4000,6.100795756,49307835,3117323,19.6,16.2,1.9,1.5,19.6,12.3,4.4,2.9,74,119,70.9,2.8,18299.5,18256.2,10508.9,0.7,3.2,815,809,12028,733708,5945,170083,94.8,93.4,98.5,21734,8225,40.5,37.84,14050,37.69,14463,340304,860.94,138231,33390,41221
2010,40329,23553351,486897,570390893,49554112,3062956,98460,256501,984140,47.9,13.3,1095041,4836456,104.6,72.8,1509,4110,2.75,49554112,3062956,20.7,16.9,2.2,1.6,20.7,13.3,4.5,2.9,72.8,118.5,69.8,2.9,22083.2,22105.3,12234.8,6.5,-4.3,781,789,15588,950868,7501,170083,100.0,100.0,100.0,21112,7194,35.2,34.07,13736,34.87,14167,343219,843.98,166308,38820,43852
2011,36130,20397567,514328,541815858,49936638,2962113,82016,239335,959914,47.3,14.4,1055847,4775135,83.1,71.2,1051,4320,5.109489051,49936638,2962113,21.3,13.4,4.7,3.2,21.3,11.5,4.4,5.4,71.2,115.3,68.3,4,24083.7,24225.6,13404.1,3.7,-2,740,754,0,0,0,170083,104.0,107.6,103.5,20772,6498,30.4,31.28,13673,32.97,13371,366531,755.42,173779,42304,44284
2012,27183,14280334,876896,1017608431,50199853,2911541,81080,249054,966076,47.8,14.4,1051676,4565223,86.6,69.8,762,4580,6.018518519,50199853,2911541,20.8,13.3,5.5,2.0,20.8,10.9,3.9,6.0,69.8,111.2,67,2.2,24349.9,24599.9,13616.9,2.3,-0.9,719,747,0,0,0,170083,110.7,117.5,106.1,20424,7462,32.9,36.54,15228,38.06,13495,383842,735.17,174707,44151,46692
2013,19981,9537721,1208906,1415837825,50428893,2847435,88982,250357,963876,50,12.1,1039665,4825079,89.2,67.2,801,4860,6.113537118,50428893,2847435,21.5,13.3,5.7,2.5,21.5,11.0,3.8,6.7,67.2,107.9,63.9,1.3,25885.6,26070.3,14643.4,2.9,3.1,697,735,0,0,0,188000,105.7,113.2,107.1,23060,7713,30.4,33.45,16349,33.07,19190,423843,823.27,166198,42664,45763
2014,21704,9622244,124810,130206860,50746659,2751791,89945,255465,933615,49.9,13.1,1012552,4827885,95.7,65.1,874,5210,7.201646091,50746659,2751791,22.0,14.0,5.5,2.5,22.0,11.9,4.0,6.1,65.1,104.7,61.9,1.3,27804.5,27892.2,15820.4,3.3,3.6,669,729,4226,266238,1941,188000,102.7,111.3,108.4,22658,7061,30.9,31.16,15323,31.38,15175,397861,743.79,150659,39719,44600
2015,24356,11305075,695319,689129330,51014947,2569387,98604,249353,908194,50.9,13.9,982842,4845870,101,62.9,1354,5580,7.101727447,51014947,2569387,25.8,15.1,6.7,4.0,25.8,12.6,5.0,8.2,62.9,102.1,60,0.7,27097.1,27170.9,15487.4,2.8,-0.4,685,726,15867,999621,7262,188000,104.4,113.8,109.0,23194,8375,33.4,36.11,17143,32.73,14938,396444,687.44,129711,34930,39698
