지역,1인가구비율 (%),1인당 자동차 등록대수 (대),EQ-5D지표,가구수 (가구),건강보험 적용인구 현황,고령인구비율 (%),교원1인당 학생수 (명),남녀성비 (%),노인 천명당 노인여가복지시설수 (개),대학교 교원수 (명),대학교 수 (개),대학교 학생수 (명),도로포장률 (%),도시지역면적 (km²),등록외국인 현황  (명),비만율 (%),사망률 (인구 10만명당 사망자),사망자수 (명),사업체수 (개),상수도보급률 (%),소년·소녀가정현황 (명),순이동인구 (명),스트레스 인지율 (%),아파트매매가격지수 (명),아파트월세가격지수 (명),아파트월세통합가격지수 (명),아파트전세가격지수 (명),유아 천명당 보육시설수 (개),유치원 교원수 (명),유치원 원아수 (명),유치원수 (개),음주율 (%),인구 십만명당 문화기반시설수 (개),인구 십만명당 사회복지시설수 (개),인구 십만명당 자살률 (명),인구 천명당 사설학원수 (개),인구 천명당 사업체수 (개),인구 천명당 외국인수 (명),인구 천명당 의료기관병상수 (개),인구 천명당 의료기관종사의사수 (명),인구 천명당 종사자수 (명),인구증가율 (%),일반폐기물재활용률 (%),일반회계중 사회복지예산비중 (%),일반회계중 일반공공행정예산비중 (%),자동차 천대당 교통사고발생건수 (건),장애인고용률 (%),재정자립도 (%),재정자주도 (%),전입인구 (명),전출인구 (명),조이혼율 (천명당),조혼인율 (천명당),주관적건강수준 인지율 (%),주민 1인당 생활폐기물배출량 (kg/일),주민 만명당 화재발생건수 (건),주민등록인구 (명),주택매매가격지수,주택수 (호),주택월세가격지수 (명),주택월세통합가격지수 (명),주택전세가격지수,지가변동률 (%),초등학교 교원수 (명),초등학교 학생수 (명),초등학교수 (개),출생아수 (명),친환경인증 농산물 출하량 (톤),친환경인증 축산물 출하량 (톤),토지거래 면적 (천㎡),토지거래현황 (천m²),토지거래현황 (필지),폐수배출업소수 (개소),하수도보급률 (%),합계출산율 (명),혼인건수 (건),흡연율 (%),총합계
서울 강남구,29.3,0.42,0.953,214911,583900,10.44,14.96,92.12,2.18,,,,100,40,5265,22.8,308.8,1751,73590,100,1,-5986,38.5,90,103.2,101.1,96.2,9.27,343,4213,43,62.1,4.16,2.95,20.5,3.81,127.65,9.13,12.72,10.11,1233.8,-0.29,65.97,44.3,8.33,14.61,1.59,66.2,67.6,108537,114523,1.5,6,48.7,1.24,8.74,576495,91.9,176654,102.7,102.7,96.9,3.8,1556,24007,33,4595,80,2621,1345,1345,19783,131,100,0.857,3380,19.8,1916616.32
서울 강동구,24.3,0.3,0.946,167009,449179,11.3,14.37,99.46,1.73,,,,100,25,4663,23.4,402.4,1857,30079,100,,-20474,28.8,92.6,107,103.5,96.1,14.05,303,4698,37,61.5,1.96,8.5,24.7,1.59,65.58,10.17,12.74,4.07,311.91,-3.74,73.86,52.25,5.13,9.04,3.26,32.2,53.8,73720,94194,1.8,6,48.5,0.9,5.76,458658,94.6,119824,105.1,105.1,96.5,2.78,1424,21620,26,3865,497,0,1366,1366,16501,130,100,1.036,2753,20.4,1435857.252
서울 강북구,28.5,0.23,0.938,127462,314857,15.87,14.76,97.06,1.5,,,,100,24,3553,29.5,566.7,1854,18654,100,,-4749,33.7,96.7,101.3,100.1,96.9,14.06,155,2103,22,60.1,2.72,11.79,30.6,0.69,56.38,10.74,6.41,1.94,210.92,-1.18,66.33,52.96,6.13,12.67,5.69,21.8,49.4,47491,52240,2.3,5.2,48,0.7,5.38,330873,97.7,91806,100.6,100.6,98.7,1.99,795,11879,14,2164,0,0,787,787,9911,57,100,0.922,1715,24.1,1017044.1
서울 강서구,26.2,0.32,0.956,220598,570722,11.51,14.64,95.62,2.25,52,1,1933,100,41,6617,24.5,443.1,2573,33273,100,6,103,29.4,91,102.2,100.1,94.1,13.87,457,5643,52,61.5,2.21,7.47,24.6,1.2,56.48,11.23,5.73,1.84,338.31,0.68,70.64,60.54,4.17,8.14,2.49,26,45.7,94604,94501,1.9,7.9,43.1,0.74,5.11,589074,93.7,179045,101,101,95.8,2.86,1778,27960,36,5812,51,0,1663,1663,28272,178,100,1.129,4578,20.9,1873839.835
서울 관악구,43.9,0.24,0.951,238744,501170,12.69,12.81,102.11,1.36,1806,1,21068,100,30,19368,24.1,398.5,2008,26235,100,,-6134,29.9,92.1,103.9,99.4,88.5,13.96,334,4549,36,64.8,1.96,8.63,23.6,0.88,51.48,38,4.77,1.75,233.84,-0.55,62.06,54.65,6,11.14,4.41,25.3,52.5,94590,100724,1.8,7.7,45.1,0.66,5.59,509663,95.2,121277,101.4,101.4,93.8,2.43,1227,17747,22,3960,3,90,878,878,13046,55,100,0.833,3859,23.7,1679683.254
서울 광진구,36.7,0.27,0.949,155242,356822,11.16,21.01,96.4,1.75,1130,3,39423,100,17,14811,24.7,412.7,1472,24531,100,,-5049,32.1,94,102.2,100.2,96.6,14.09,245,3199,37,64.3,2.5,7.77,20.2,1.24,68.07,41.1,6.85,3.34,343.23,-0.58,73.78,45.09,7.5,10.1,2.66,30.9,59.3,58871,63920,1.8,7.2,48.2,0.94,6.69,360369,96.2,79393,100.9,100.9,98.2,2.55,1049,15760,22,2951,3,0,591,591,9587,52,100,0.903,2576,19.3,1190233.962
서울 구로구,26.2,0.33,0.946,170651,427706,12.59,17.68,99.43,2.65,281,3,16199,100,20,32512,25.1,412.5,1731,37445,100,,-6953,31.6,93.7,101.6,99.1,92,15.13,268,3568,37,60.1,3.08,6.87,21.2,0.93,88.71,77.03,8.96,2.96,498.72,-0.55,56.05,53.28,5.4,8.82,2.7,27.1,52.4,57099,64052,1.9,7.3,43.6,0.75,5.24,422092,95.4,118047,101.2,101.2,94.1,2.36,1298,19363,24,4257,0,0,967,967,15261,126,100,1.169,3045,19.2,1392843.735
서울 금천구,33.4,0.35,0.954,103086,236612,13.01,13.23,104.26,1.77,,,,100,13,19883,29.9,488,1139,30080,100,4,-3247,30.7,93.7,100.8,98.8,92.6,18.22,135,1763,18,65.6,2.54,11.85,24.4,0.88,127.3,84.15,8.19,1.96,944.02,-0.72,71.43,49.24,9.3,8.72,2.84,31.6,54.6,34056,37303,2.4,6.3,38.7,1.02,5.54,236284,95.8,57096,101.1,101.1,95.6,2.53,718,9610,17,1885,0,0,714,714,10945,220,100,1.086,1481,23.1,783920.87
서울 노원구,22.5,0.27,0.967,206092,549235,11.98,19.28,95.04,2.56,1281,6,50545,100,35,3638,23.9,482.2,2763,25827,100,1,-10144,29.2,93.9,100.8,100.1,97.6,19.86,547,7364,69,61.8,2.61,7.83,25.5,1.36,44.95,6.33,6.18,2.9,199.69,-1.34,75.61,58.75,6.54,7.46,5.23,17.5,46,73528,83672,1.7,5.5,48.8,0.81,4.19,574583,94.6,186626,100.7,100.7,97.8,2.47,1949,31048,42,4462,11,0,858,858,16925,104,100,1.096,3146,19.5,1817523.923
서울 도봉구,21.9,0.27,0.957,125952,341690,13.82,16.03,97.09,2.08,200,1,7181,100,21,1999,25.6,509.9,1776,18455,100,3,-3499,30.6,95.3,101.5,100.4,96.8,18.21,221,3035,30,64.1,2.85,15.09,26.1,1.04,52.54,5.69,8.06,1.76,195.5,-0.69,77.76,52.7,8.77,7.31,5.03,22.8,53.6,48961,52460,2.1,5.2,45.3,0.9,5.35,351242,96.7,102443,101.2,101.2,97.5,2.19,1114,17408,23,2481,33,0,782,782,11065,81,100,1.01,1810,18.1,1090257.217
